Date,Open,High,Low,Close,Adj Close,Volume
1991-03-28,2.473214,2.500000,2.419643,2.428571,0.339502,19675600
1991-04-01,2.428571,2.482143,2.410714,2.446429,0.341998,29481200
1991-04-02,2.464286,2.598214,2.446429,2.598214,0.363217,73231200
1991-04-03,2.589286,2.598214,2.500000,2.500000,0.349487,60032000
1991-04-04,2.500000,2.571429,2.482143,2.553571,0.356976,42109200
1991-04-05,2.562500,2.562500,2.455357,2.477679,0.346367,38852800
1991-04-08,2.473214,2.500000,2.455357,2.500000,0.349487,18118800
1991-04-09,2.491071,2.500000,2.437500,2.455357,0.343246,29862000
1991-04-10,2.446429,2.473214,2.383929,2.388393,0.333885,54101600
1991-04-11,2.419643,2.549107,2.410714,2.535714,0.354480,88897200
1991-04-12,2.553571,2.616071,2.491071,2.562500,0.358224,91929600
1991-04-15,2.205357,2.303571,2.142857,2.223214,0.310794,425096000
1991-04-16,2.258929,2.303571,2.232143,2.294643,0.320779,155195600
1991-04-17,2.321429,2.321429,2.214286,2.258929,0.315787,80600800
1991-04-18,2.241071,2.250000,2.169643,2.178571,0.304553,61840800
1991-04-19,2.178571,2.196429,2.125000,2.129464,0.297688,71825600
1991-04-22,2.125000,2.214286,2.098214,2.196429,0.307049,64254400
1991-04-23,2.223214,2.250000,2.151786,2.196429,0.307049,59323600
1991-04-24,2.205357,2.214286,2.160714,2.169643,0.303305,26362000
1991-04-25,2.133929,2.133929,2.089286,2.089286,0.292071,78845200
1991-04-26,2.089286,2.107143,2.062500,2.093750,0.292695,31264800
1991-04-29,2.089286,2.151786,2.080357,2.080357,0.290823,51676800
1991-04-30,2.062500,2.080357,1.946429,1.964286,0.274597,177861600
1991-05-01,1.714286,1.750000,1.678571,1.687500,0.235904,467093200
1991-05-02,1.705357,1.776786,1.696429,1.750000,0.244641,202781600
1991-05-03,1.750000,1.767857,1.723214,1.750000,0.244641,60928000
1991-05-06,1.732143,1.803571,1.723214,1.794643,0.250882,53082400
1991-05-07,1.821429,1.830357,1.803571,1.808036,0.252754,67620000
1991-05-08,1.812500,1.812500,1.758929,1.776786,0.248386,44195200
1991-05-09,1.785714,1.839286,1.776786,1.812500,0.253378,59553200
1991-05-10,1.839286,1.901786,1.812500,1.830357,0.255875,60432400
1991-05-13,1.866071,1.910714,1.839286,1.883929,0.263363,61236000
1991-05-14,1.883929,1.919643,1.875000,1.910714,0.267108,54236000
1991-05-15,1.839286,1.857143,1.750000,1.803571,0.252130,129586800
1991-05-16,1.821429,1.830357,1.732143,1.750000,0.244641,95533200
1991-05-17,1.741071,1.741071,1.660714,1.678571,0.234656,117765200
1991-05-20,1.687500,1.696429,1.571429,1.580357,0.237936,65542400
1991-05-21,1.616071,1.660714,1.598214,1.616071,0.243313,87449600
1991-05-22,1.633929,1.660714,1.625000,1.651786,0.248690,56817600
1991-05-23,1.660714,1.669643,1.598214,1.611607,0.242641,52164000
1991-05-24,1.625000,1.642857,1.607143,1.638393,0.246673,24281600
1991-05-28,1.642857,1.651786,1.616071,1.642857,0.247346,42859600
1991-05-29,1.651786,1.705357,1.638393,1.678571,0.252723,96000800
1991-05-30,1.678571,1.705357,1.660714,1.700893,0.256083,39586400
1991-05-31,1.696429,1.705357,1.651786,1.678571,0.252723,54465600
1991-06-03,1.678571,1.767857,1.669643,1.758929,0.264821,55017200
1991-06-04,1.767857,1.767857,1.732143,1.754464,0.264149,46071200
1991-06-05,1.758929,1.758929,1.705357,1.714286,0.258100,33322800
1991-06-06,1.723214,1.723214,1.660714,1.665179,0.250706,42126000
1991-06-07,1.651786,1.678571,1.629464,1.647321,0.248018,38186400
1991-06-10,1.642857,1.683036,1.633929,1.642857,0.247346,41860000
1991-06-11,1.607143,1.625000,1.580357,1.593750,0.239952,47140800
1991-06-12,1.571429,1.598214,1.473214,1.513393,0.227854,108908800
1991-06-13,1.517857,1.535714,1.491071,1.504464,0.226509,52841600
1991-06-14,1.526786,1.526786,1.455357,1.468750,0.221132,56322000
1991-06-17,1.464286,1.508929,1.464286,1.500000,0.225837,41650000
1991-06-18,1.508929,1.544643,1.482143,1.504464,0.226509,61171600
1991-06-19,1.491071,1.508929,1.473214,1.491071,0.224493,44735600
1991-06-20,1.473214,1.500000,1.455357,1.500000,0.225837,36010800
1991-06-21,1.500000,1.517857,1.491071,1.500000,0.225837,51503200
1991-06-24,1.491071,1.508929,1.473214,1.491071,0.224493,51996000
1991-06-25,1.500000,1.535714,1.491071,1.513393,0.227854,56980000
1991-06-26,1.526786,1.553571,1.508929,1.535714,0.231214,62610800
1991-06-27,1.517857,1.526786,1.491071,1.517857,0.228526,37800000
1991-06-28,1.508929,1.517857,1.437500,1.482143,0.223149,56660800
1991-07-01,1.508929,1.535714,1.491071,1.517857,0.228526,48706000
1991-07-02,1.508929,1.526786,1.491071,1.508929,0.227181,30035600
1991-07-03,1.508929,1.553571,1.491071,1.540179,0.231886,77593600
1991-07-05,1.535714,1.642857,1.526786,1.629464,0.245329,82888400
1991-07-08,1.616071,1.687500,1.607143,1.669643,0.251378,76770400
1991-07-09,1.687500,1.723214,1.660714,1.674107,0.252051,56610400
1991-07-10,1.696429,1.723214,1.669643,1.687500,0.254067,39144000
1991-07-11,1.678571,1.687500,1.642857,1.669643,0.251378,36478400
1991-07-12,1.687500,1.687500,1.651786,1.669643,0.251378,33188400
1991-07-15,1.669643,1.669643,1.625000,1.625000,0.244657,34496000
1991-07-16,1.625000,1.633929,1.553571,1.562500,0.235247,55748000
1991-07-17,1.553571,1.589286,1.508929,1.517857,0.228526,52234000
1991-07-18,1.571429,1.611607,1.535714,1.602679,0.241296,99579200
1991-07-19,1.616071,1.651786,1.607143,1.642857,0.247346,32104800
1991-07-22,1.633929,1.651786,1.625000,1.642857,0.247346,27168400
1991-07-23,1.651786,1.660714,1.589286,1.607143,0.241968,33264000
1991-07-24,1.616071,1.633929,1.589286,1.607143,0.241968,32863600
1991-07-25,1.616071,1.633929,1.607143,1.616071,0.243313,16450000
1991-07-26,1.633929,1.633929,1.598214,1.602679,0.241296,18558400
1991-07-29,1.616071,1.625000,1.589286,1.625000,0.244657,13325200
1991-07-30,1.625000,1.669643,1.625000,1.660714,0.250034,22965600
1991-07-31,1.660714,1.674107,1.607143,1.651786,0.248690,25701200
1991-08-01,1.642857,1.758929,1.633929,1.754464,0.264149,112106400
1991-08-02,1.776786,1.794643,1.750000,1.785714,0.268854,68252800
1991-08-05,1.776786,1.776786,1.723214,1.732143,0.260788,25191600
1991-08-06,1.741071,1.794643,1.705357,1.767857,0.266165,55106800
1991-08-07,1.767857,1.821429,1.763393,1.799107,0.270870,52903200
1991-08-08,1.812500,1.848214,1.785714,1.803571,0.271542,47362000
1991-08-09,1.803571,1.821429,1.776786,1.812500,0.272887,38600800
1991-08-12,1.812500,1.866071,1.803571,1.848214,0.278264,35632800
1991-08-13,1.857143,1.928571,1.857143,1.910714,0.287674,71646400
1991-08-14,1.955357,1.964286,1.924107,1.959821,0.295067,50178800
1991-08-15,1.964286,1.964286,1.892857,1.901786,0.286329,36386000
1991-08-16,1.883929,1.937500,1.866071,1.901786,0.286329,39701200
1991-08-19,1.767857,1.843750,1.732143,1.803571,0.289830,80620400
1991-08-20,1.839286,1.848214,1.803571,1.821429,0.292700,49856800
1991-08-21,1.875000,1.933036,1.857143,1.919643,0.308483,55843200
1991-08-22,1.928571,1.955357,1.919643,1.937500,0.311352,41412000
1991-08-23,1.928571,1.982143,1.883929,1.892857,0.304178,60104800
1991-08-26,1.892857,1.910714,1.875000,1.892857,0.304178,25398800
1991-08-27,1.892857,1.928571,1.883929,1.928571,0.309918,25088000
1991-08-28,1.928571,1.937500,1.897321,1.901786,0.305613,26896800
1991-08-29,1.901786,1.924107,1.875000,1.892857,0.304178,28338800
1991-08-30,1.892857,1.901786,1.866071,1.892857,0.304178,16534000
